id,title,body,rating,state,customer_id,book_id,created_at,updated_at
1,Bicycle rights chicharrones readymade artisan aesthetic.,Tacos marfa deep v master polaroid. Selfies plaid mlkshk kale chips neutra salvia slow-carb. Pickled microdosing bushwick banh mi butcher. Lo-fi cliche cronut retro.,1,1,5,17,2019-01-24 12:10:28.144903,2019-01-24 13:39:14.394945
2,Swag mumblecore cray cleanse sustainable plaid shabby chic.,Tote bag distillery chambray. Mlkshk trust fund mumblecore slow-carb shabby chic. Retro brooklyn venmo tacos. Bitters intelligentsia shoreditch. Hashtag keffiyeh bicycle rights master pickled pitchfork.,2,1,7,3,2019-01-24 12:10:28.166106,2019-01-24 12:10:28.166106
3,Waistcoat jean shorts 3 wolf moon kitsch.,Art party waistcoat fixie chartreuse wayfarers. Art party pickled sartorial. Ugh wes anderson health authentic.,1,2,5,4,2019-01-24 12:10:28.168774,2019-01-24 12:10:28.168774
4,Distillery 3 wolf moon disrupt chicharrones.,Mustache meditation viral cold-pressed celiac pour-over. Messenger bag polaroid direct trade. Literally brooklyn street. Hammock chillwave hoodie small batch farm-to-table semiotics kinfolk.,5,0,8,7,2019-01-24 12:10:28.171323,2019-01-24 12:10:28.171323
5,Yolo direct trade salvia austin kickstarter hoodie literally.,Pug shabby chic slow-carb paleo. Yolo iphone church-key you probably haven't heard of them authentic. Gluten-free drinking kogi.,5,1,10,12,2019-01-24 12:10:28.173679,2019-01-24 12:10:28.173679
6,Freegan bitters kale chips raw denim.,Before they sold out +1 twee celiac roof pug. Diy keytar keffiyeh fanny pack green juice vinegar etsy typewriter. Semiotics offal scenester ramps. Skateboard pop-up cliche ramps vinegar salvia. Church-key carry muggle magic.,4,1,9,16,2019-01-24 12:10:28.175961,2019-01-24 12:10:28.175961
7,Chartreuse asymmetrical gastropub everyday kombucha salvia sartorial venmo beard.,Mustache diy distillery vinegar raw denim blog iphone. Keffiyeh franzen shabby chic try-hard. Knausgaard normcore biodiesel roof crucifix taxidermy stumptown. Messenger bag kogi church-key keffiyeh plaid. Roof sartorial church-key vinyl loko poutine pour-over brooklyn.,2,2,6,7,2019-01-24 12:10:28.178955,2019-01-24 12:10:28.178955
8,Vegan carry microdosing stumptown quinoa meditation wayfarers muggle magic.,Master tousled whatever sriracha intelligentsia brunch gastropub. Everyday pitchfork 90's migas banjo. Williamsburg next level heirloom. Mumblecore kale chips pabst messenger bag slow-carb franzen sartorial.,4,2,3,14,2019-01-24 12:10:28.181270,2019-01-24 12:10:28.181270
9,Chillwave banh mi venmo listicle 8-bit mixtape kale chips meditation.,Poutine williamsburg gentrify schlitz gluten-free diy knausgaard whatever. Iphone vhs freegan sriracha cliche etsy. Pitchfork selfies food truck gluten-free. Flexitarian selfies craft beer wolf. Biodiesel organic celiac.,3,2,8,2,2019-01-24 12:10:28.185714,2019-01-24 12:10:28.185714
10,Before they sold out etsy selvage roof put a bird on it green juice bicycle rights flexitarian meh.,Offal sartorial gluten-free cleanse meggings hashtag. Carry cornhole health kinfolk thundercats. Tousled butcher gentrify semiotics meggings sustainable.,5,2,14,1,2019-01-24 12:10:28.190049,2019-01-24 12:10:28.190049
